"Bearbeitungsvermerke","یادداشت های مسئول پرونده"
"Nur vom Jobcenter auszufüllen","این بخش را باید جاب سنتر پر کند."
"Hauptantrag","تقاضای اصلی"
"Antrag auf Leistungen zur Sicherung des Lebensunterhalts nach dem Zweiten Buch Sozialgesetzbuch (SGB II)","تقاضای کمک برای مایحتاج زندگی بر طبق کتاب دوم قوانین اجتماعی SGBII"
"Kreuzen Sie bitte Zutreffendes an.","با ضربدر جواب های درست را علامت بزنید."
"Weitere Informationen finden Sie zu der jeweiligen Nummer in den Ausfüllhinweisen","سایراطلاعات مربوط به هر شماره ای را در راهنمای پرکردن فرم پیدا می کنید."
"Datenschutzrechtliche Hinweise erhalten Sie bei dem für Sie zuständigen Jobcenter sowie ergänzend im Internet unter www.arbeitsagentur.de/datenerhebung.","اطلاعات مربوط به حق حفظ اطلاعات را از جاب سنتر مربوطه و یا در سایت دریافت می نمائید: www.arbeitsagentur.de/datenerhebung."
"Anrede","تیتر"
"Vorname","اسم"
"Familienname","اسم فامیل"
"Geburtsname (sofern abweichend)","اسم فامیل زمان تولد (اگرابتدا نام دیگری داشتید)"
"Geburtsort","محل تولد"
"Geburtsdatum","تاریخ تولد"
"Geburtsland","کشور محل تولد"
"Staatsangehörigkeit","تابعیت"
"Rentenversicherungsnummer","شماره بیمه بازنشستگی"
"Straße, Hausnummer","خیابان، شماره پلاک"
"Postleitzahl","کد پستی"
"Wohnort","شهر محل زندگی"
"Die Angaben zur Telefonnummer und zur E-Mail-Adresse sind freiwillig.","دادن شماره تلفن و آدرس ایمیل اختیاری است."
"Telefonnummer","شماره تلفن"
"E-Mail-Adresse","آدرس ایمیل"
"Mein Familienstand","موقعیت خانوادگی"
"ledig","مجرد"
"verheiratet","متاهل"
"verwitwet","بیوه"
"eingetragene Lebenspartnerschaft","زندگی مشترک بدون ازدواج"
"dauernd getrennt lebend seit:","از این تاریخ از همسرم جدا زندگی می کنم"
"geschieden seit:","از این تارخ جداشده ام"
"Hier sind Mehrfachnennungen möglich.","در اینجا می توانید چندین مورد را علامت بزنید."
"Bitte füllen Sie die **Anlage WEP** aus.","در این حالت لطفا ضمیمه **Anlage WEP** را پرکنید."
"Kosten der Unterkunft und Heizung","مخارج محل سکونت و شوفاژ"
"Ich habe für den Monat der Antragstellung bereits Leistungen bei einem anderen Jobcenter beantragt oder von diesem bezogen.","من در زمان تقاضای کمک اجتماعی برای تامین معاش زندگی، از یک جاب سنتر دیگر درخواست داده و یا این کمک را دریافت می کردم."
"Ja","بلی"
"Nein","خیر"
"Falls ja, legen Sie bitte entsprechende Nachweise vor.","اگر پاسخ شما آری است، لطفا مدرک را ضمیمه کنید"
"Ich fühle mich **gesundheitlich** in der Lage, eine Tätigkeit von mindestens **drei Stunden täglich** auszuüben.","به نظر خودم به **لحاظ سلامتی** در شرایطی هستم که حداقل 3** ساعت در روز** کار کنم."
