"Bisher keine Übersetzungen in dieser Sprache.","Bu dil için çeviriler bulunamadı."
"Deutsch","Alman"
"Originaldokument","Orijinal belge"
"Sprache","Dil"
"Sprache wechseln:","Dili değiştir:"
"Titel","Başlık"
"Zuletzt aktualisiert","Son güncelleme"
"about","Bu web sitesinde resmi formlarda yer alan tercüme tabloları yer almaktadır. Mültecilere ve göçmen kadınlara kendilerini Almanya ofisinde daha iyi yönlendirmeleri için yardımcı olmaya yöneliktirler.

Temel çeviriler [KuB Berlin](//www.kub-berlin.org/formularprojekt/) tarafından sağlanmaktadır. Bunlar gönüllüler tarafından yapılır ve resmi değildir.

Hatalar doldurulurken kolaylıkla yapıldığından, bir konsültasyona gitmenizi öneririz."
"direction","ltr"
"disclaimer","**Not**: Bu çeviri gönüllüler tarafından yapıldı ve resmi değil!"
"disclaimer_long","**Dikkat**: Bu belge yalnızca bir form doldurma rehberidir. Lütfen formun Almanca aslını doldurarak ilgili daireye teslim ediniz!

Formu kendi başınıza doldururken hata(lar) yapabilirsiniz. Bu, hiç istenmeyen olumsuz sonuçlara yol açabilir. Bu nedenle bir danışma merkezine başvurmanızı tavsiye ederiz.

Bütün çeviriler gönüllü çevirmenler tarafından mevcut bilgileri göz önünde bulundurarak iyi niyetle yapılmıştır. KuB sorumluluk kabul etmez."
"language","Türk"
"Über dieses Projekt","Bu proje hakkında"
"Übersetzte Dokumente","Çevrilmiş belgeler"
