"Ansicht als Formular","نمایش به صورت پرسشنامه"
"Bisher keine Übersetzungen in dieser Sprache.","هنوز به این زبان هیچ ترجمه ای انجام نشده است."
"Deutsch","آلمانی"
"Übersetzung von Formularen","ترجمه ی پرسشنامه های اداری"
"Originaldokument","نسخه ی اصلی"
"Sprache","زبان"
"Sprache wechseln:","زبان راعوض کنید:"
"Titel","عنوان"
"Zuletzt aktualisiert","آخرین به روزرسانی"
"about","در این صفحه ی اینترنتی نموداری از ترجمه های پرسشنامه های اداری در دسترس همگان قرار می گیرد. این ترجمه ها به منظور کمک به پناهندگان و مهاجران است که راه خود را در آشفته بازار اداری آلمان راحت تر پیدا کنند. 

این ترجمه ها از طریق [KuB Berlin](//www.kub-berlin.org/formularprojekt/) انجام شده و در اختیارعموم قرار گرفته اند. این پرسشنامه ها به طور داوطلبانه ترجمه شده اند و رسمی نیستند. 

از آنجایی که هنگام پر کردن فرم امکان اشتباه کردن زیاد است، توصیه می کنیم به یک مشاور مراجعه کنید."
"direction","rtl"
"disclaimer","**توجه** این ترجمه بصورت داوطلبانه انجام شده است و رسمی نیست!"
"disclaimer_long","**توجه**: این فرم فقط به منظور کمک به شما برای پر کردن فرم اصلی تهیه شده است. لطفا فرم-آنلاین به زبان آلمانی را پر کنید!

از آنجایی که احتمال خطا در پر کردن فرم به تنهایی وجود دارد و با توجه به اینکه که هر خطایی می تواند نتایج نامطلوبی در روند پرونده تان داشته باشد، پیشنهاد میکنیم برای پر کردن فرم به یکی از مراکز مشاوره مراجعه کنید.

تمام ترجمه ها توسط افراد داوطلب در نهایت دانش و آگاهی انجام گرفته است. انجمن کا.او.ب (Kub) در این خصوص مسئولیتی نمی پذیرد."
"language","فارسی"
"language_de","Persisch"
"Über dieses Projekt","درباره ی این پروژه"
"Übersetzte Dokumente","مدارک ترجمه شده"
"Übersetzung verbessern","تصحیح وتکمیل ترجمه  "
