"Ansicht als Formular","View as form"
"Bisher keine Übersetzungen in dieser Sprache.","No translations for this language yet."
"Deutsch","German"
"Übersetzung von Formularen","Translations of official forms"
"Originaldokument","Source document"
"Sprache","Language"
"Sprache wechseln:","Switch language:"
"Titel","Title"
"Zuletzt aktualisiert","Last update"
"about","This website is used to publish translation tables for official forms. They are supposed to help refugees and migrants to cope with the german administrative chaos.

The translations this is based on are published by [KuB Berlin](//www.kub-berlin.org/formularprojekt/). They are created by volunteers and are not official.

Since filling in the forms is very complicated, we recommend that you seek help."
"direction","ltr"
"disclaimer","**Warning:** This translation was created by volunteers and is not official!"
"language","English"
"Über dieses Projekt","About this Project"
"Übersetzte Dokumente","Translated documents"
"Übersetzung verbessern","Improve translation"
