"Kindergeld-Nr.","Номер детского пособия"
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","Налоговый идентификационный номер заявителя (обязательно к заполнению)"
"Familienkasse","Отделение социальной службы по защите семьи (""Семейная касса"")"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","Пожалуйста, обратите внимание на приложенные рекомендации и памятку по детскому пособию."
"Telefonische Rückfrage tagsüber unter Nr.:","Справки по телефону в течение рабочего дня:"
"Antrag auf Kindergeld","Заявление на предоставление детского пособия"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","Приложите, пожалуйста, для каждого ребёнка, на которого Вы подаете заявление на получение детского пособия, отдельное сведение о ребёнке (приложение ""Сведения о ребенке"")."
"Anzahl der beigefügten ""Anlage Kind"":","Количество приложений ""Сведения о ребенке"""
"Angaben zur antragstellenden Person","Сведения о заявителе"
"Name","Фамилия"
"Titel","Обращение"
"Vorname","Имя"
"ggf. Geburtsname und Name aus früherer Ehe","Фамилия по рождению или по бывшему/бывшей супругу/супруге (если есть)"
"Geburtsdatum","Дата рождения"
"Geburtsort","место рождения"
"Geschlecht","Пол"
"Staatsangehörigkeit","Гражданство"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Адрес (улица/площадь, номер дома, почтовый индекс, населенный пункт, страна проживания)"
"Familienstand","Семейное положение"
"ledig","холост/не замужем"
"seit","с (дата)"
"verheiratet","женат/замужем"
"verwitwet","вдовец/вдова"
"in eingetragener Lebenspartnerschaft lebend","состою в гражданском партнерстве"
"geschieden","разведен(-а)"
"dauernd getrennt lebend","проживаю отдельно от супруга(-и) длительное время"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Адрес, если не адрес заявителя (улица/площадь, № дома, почтовый индекс, населенный пункт, страна проживания)"
"Angaben zum Zahlungsweg","Реквизиты для платежей"
"IBAN","IBAN (международный номер банковского счета)"
"BIC","BIC (банковский идентификационный код)"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","банк, финанcовое учреждение (возможно, и филиал)"
"Kontoinhaber(in) ist","Владельцем счета является"
"antragstellende Person wie unter 1","Заявитель, указанный в пункте 1"
"nicht antragstellende Person, sondern:","не Заявитель, а данное лицо (указать):"
"Name, Vorname","Фамилия, имя"
"Angaben zu Kindern","Сведения о детях"
"Für folgende Kinder beziehe ich bereits Kindergeld","Я уже получаю детское пособие на следующих детей"
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):","(также, если банковские реквизиты, распределение пособия, получение компенсации отличаются):"
"Vorname des Kindes ggf. abweichender Familienname","Имя ребенка (и фамилия, если отличается от указанной выше)"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","При каком отделении социальной службы по защите семьи (""Семейной кассе"") (номер детского пособия, персональный цифровой шифр)?"
"Folgende Zählkinder sollen berücksichtigt werden:","Прошу принять во внимание следующих ""учетных детей"":"
"Wer bezieht das Kindergeld (Name, Vorname)?","Кто является получателем детского пособия (фамилия, имя)?"
