"Kindergeld-Nr.","رقم دعم الطفل"
"Steuerliche Identifikationsnummer der antragstellenden Person (zwingend ausfüllen)","رقم التعريف الضريبي للشخص مقدم الطلب (الملئ إلزامي)"
"Familienkasse","صندوق العائلة"
"Beachten Sie bitte die anhängenden Hinweise und das Merkblatt Kindergeld.","الرجاء الإنتباه إلى الملاحظات المرفقة و إلى النشرة المخصصة لدعم الأطفال."
"Telefonische Rückfrage tagsüber unter Nr.:","للاستفسار هاتفيا خلال النهار من خلال رقم الهاتف:"
"Antrag auf Kindergeld","طلب دعم الطفل"
"Bitte fügen Sie für jedes Kind, für das Kindergeld beantragt wird, eine „Anlage Kind“ bei.","يرجى إرفاق ملف طلب ""Anlage Kind"" لكل طفل موجود ضمن طلب دعم الأطفال العام"
"Angaben zur antragstellenden Person","معلومات عن مقدم الطلب"
"Name","اللقب"
"Titel","اللقب"
"Vorname","الاسم"
"ggf. Geburtsname und Name aus früherer Ehe","لو يجد، الاسم قبل الزواج اواسم من زواج سابق"
"Geburtsdatum","تاريخ الميلاد"
"Geburtsort","مكان الولادة"
"Geschlecht","الجنس"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","العنوان (الشارع / الساحة، رقم المنزل، الرمز البريدي، المدينة، البلد)"
"Familienstand","الحالة العائلية"
"ledig","أعزب"
"seit","منذ"
"verheiratet","متزوج"
"verwitwet","أرمل"
"geschieden","مطلق"
"dauernd getrennt lebend","مفصول بشكل دائم"
"Angaben zum/zur Ehegatten/Ehegattin bzw. eingetragenen Lebenspartner(in)","معلومات عن زوج / زوجة او شريك حياة مقدم الطلب"
"Staatsangehörigkeit","الجنسية"
"Angaben zum Zahlungsweg","معلومات عن طريقة الدفع"
"IBAN","IBAN"
"BIC","BIC"
"Bank, Finanzinstitut (ggf. auch Zweigstelle)","اسم البنك أو المؤسسة المالية صاحبة الحساب"
"Kontoinhaber(in) ist","صاحب/ة الحساب"
"antragstellende Person wie unter 1","الشخص الذي يطلب كما يلي ١"
"nicht antragstellende Person, sondern:","شخص غير مقدم الطلب:"
"Name, Vorname","اللقب, الاسم"
"Der Bescheid soll nicht mir, sondern folgender Person zugesandt werden:","يجب أن لا يتم إرسال الإشعار لي، ولكن للشخص التالي:"
"Angaben zu Kindern","معلومات عن الاطفال"
"Für jedes Kind, für das Kindergeld neu beantragt wird, ist eine gesonderte „Anlage Kind“ ausgefüllt einzureichen.","يجب إرفاق ملف طلب ""Anlage Kind"" لكل طفل موجود ضمن الطلب العام"
"Für folgende Kinder beziehe ich bereits Kindergeld","أحصل مسبقاً على الكيندرغيلد للأطفال التاليين"
"(auch in Fällen der abweichenden Kontoverbindung, Abzweigung und Erstattung):","(أيضا في حالات اختلاف الحساب المصرفي، تحويل وتسديد):"
"Vorname des Kindes ggf. abweichender Familienname","اسم الطفل, والكنية في حال كانت مختلفة"
"Bei welcher Familienkasse (Kindergeldnummer, Personalnummer)?","من أي فرع من فروع صندوق العائلة تحصلون مسبقاً على الكيندرغيلد (رقم الكيندرغيلد, الرقم الشخصي)؟"
"Folgende Zählkinder sollen berücksichtigt werden:","ينبغي النظر في العدد التالي من الأطفال:"
"Wer bezieht das Kindergeld (Name, Vorname)?","من هو الشخص الذي يحصل على الكيندرغيلد (الكنية, الاسم)؟"
"Datum","التاريخ"
"(Unterschrift der antragstellenden Person bzw. der gesetzlichen Vertretung)","توقيع مقدم الطلب او توقيع الوكيل القانوني"
"Alle Eingaben löschen","مسح الكل"
"Drucken","إطبع"
"Speichern","إحفظ"
"Nur von der Familienkasse auszufüllen","للاتمام من قبل صندوق الاسرئ"
"Hinweise zum Antrag auf Kindergeld und zur Anlage Kind","يمكن العثور على التفاصيل في ورقة المبادئ التوجيهية لدعم الطفل"
"Füllen Sie bitte den Antragsvordruck und die Anlage Kind sorgfältig und gut leserlich aus und kreuzen Sie das Zutreffende an. Vergessen Sie Ihre *Unterschrift* nicht! Sofern Sie minderjährig sind, muss Ihr gesetzlicher Vertreter für Sie unterschreiben.","يرجى ملء استمارة الطلب و الإستمارة الخاصة بمعلومات الطفل بعناية وبخطٍ واضح, و الاشارة في المربع المناسب. لا تنسى *التوقيع*! إذا كنت قاصرا، يجب ان يوقع ولي أمرك نيابة عنك."
"Lassen Sie den Antrag *auch* von dem mit Ihnen gemeinsam in einem Haushalt lebenden Ehegatten bzw. Lebenspartner/anderen Elternteil unterschreiben, wenn er damit einverstanden ist, dass Sie das Kindergeld erhalten. Wenn kein Einvernehmen besteht, teilen Sie dies bitte der Familienkasse mit. Wurde der Berechtigte gerichtlich bestimmt, fügen Sie bitte den Beschluss bei.","يرجى أن يوقع *ايضا* (زوجك أو شريكك / الوالد الآخر) المقيم معك، على أنه يوافق أن تتلقى دعم الطفل. إذا لم يكن هناك اتفاق، الرجاء إبلاغ صندوق الأسرة. إذا تم تحديد مطالبات مقدم الطلب من قبلي قاضي ، يرجى إرفاق القرار."
"Bitte beachten Sie, dass Ihr Antrag nur bearbeitet werden kann, wenn er *vollständig ausgefüllt* wurde.","يرجى الملاحظة بأن طلبكم لا يمكن معالجته الا إذا كان قد تم *ملؤه بشكل تام*."
"Seit dem 01.01.2016 ist Voraussetzung für den Anspruch auf Kindergeld, dass die anspruchsberechtigte Person und das Kind durch die an sie vergebenen steuerlichen Identifikationsnummern (§ 139b der Abgabenordnung) identifiziert werden. Seit 2008 wird jeder Person, die mit Hauptwohnung oder alleiniger Wohnung in einem Melderegister in Deutschland erfasst ist, eine steuerliche Identifikationsnummer zugeteilt. Personen, die nicht melderechtlich erfasst, aber in Deutschland steuerpflichtig sind, erhalten ebenfalls eine steuerliche Identifikationsnummer.","منذ 2016/1/1 هناك شرط أساسي لاستحقاق إعانة الطفل. أن يتم تحديد صاحب الحق والطفل من خلال أرقام التعريف الضريبية المقدمة لهم (§ 139b من قانون الضرائب). منذ عام 2008 يحصل كل شخص على رقم تعريف ضريبي في حال كان محل اقامته الرئيسي او محل اقامته الوحيد مكتوب في سجل المقيمين في ألمانيا. الأشخاص الغير مسجلين في سجل المقيمين في ألمانيا، ولكن يخضعون للضريبة في ألمانيا، يحصلون ايضا على رقم التعريف الضريبي."
"Ihre steuerliche Identifikationsnummer und die Ihres Kindes finden Sie im jeweiligen Mitteilungsschreiben des Bundeszentralamtes für Steuern. Ihre Nummer ist auch auf der elektronischen Lohnsteuerbescheinigung Ihres Arbeitgebers oder in Ihrem Einkommensteuerbescheid verzeichnet. Sollten Sie Ihre steuerliche Identifikationsnummer in den genannten Unterlagen nicht finden, können Sie mit dem Eingabeformular im Internetportal des Bundeszentralamtes für Steuern **www.bzst.de** um erneute Zusendung bitten. Die Mitteilung der steuerlichen Identifikationsnummer durch das Bundeszentralamt für Steuern erfolgt schriftlich. Aus datenschutzrechtlichen Gründen kann sie weder telefonisch noch per E-Mail übermittelt werden.","رقم التعريف الضريبي الخاص بك وبطفلك تجده ضمن الرسائل المرسلة من مكتب الضرائب الفيدرالي المركزي. تجد الرقم مسجلا أيضا على بيان ضريبة العمل الإلكتروني من رب عملك أو على مشروع قانون ضريبة الدخل الخاص بك. إذا لم تتمكن من العثور على رقم التعريف الضريبي الخاص بك في الوثائق المذكورة، يمكنك أن تطلب اعادة ارسال الرقم مجددا عن طريق استمارة على البوابة الإلكترونية لمكتب الضرائب الفيدرالي المركزي ** www.bzst.de** . سيتم اعلامك عن رقم التعريف الضريبي كتابيا. من اجل الحفاظ على امن البيانات، لا يمكن إعطاء الرقم عن طريق الهاتف ولا عن طريق البريد الإلكتروني."
