"An das","به"
"Amtsgericht","اداره دادگستری"
"Postleitzahl, Ort","کد پستی، محل"
"*Geschäftsnummer des Amtsgerichts*","شماره مرجع اداره دادگستری"
"*Diese Felder sind nicht vom Antragsteller auszufüllen.*","متقاضی نباید این بخش ها را پر کند."
"Eingangsstempel des Amtsgerichts:","مهر رسید اداره دادگستری"
"Antrag auf Bewilligung von Beratungshilfe","درخواست برای اهدای کمک مشاوره حقوقی"
"Antragsteller (Name, Vorname, ggf. Geburtsname)"," متقاضی (نام خانوادگی، نام، همچنین نام زمان تولد)"
"Beruf, Erwerbstätigkeit","شغل، اشتغال"
"Geburtsdatum","تاریخ تولد"
"Familienstand","وضعیت تاهل"
"Anschrift (Straße, Hausnummer, Postleitzahl, Wohnort)","آدرس (خیابان، پلاک خانه، کد پستی، شهر محل زندگی) "
"Tagsüber telefonisch erreichbar unter Nummer","در طول روز از طریق این شماره تلفن در دسترس هستم."
"Ich beantrage Beratungshilfe in folgender Angelegenheit (bitte Sachverhalt kurz erläutern):","برای مورد زیردرخواست کمک برای مشاوره می دهم (لطفا مورد درخواستی را مختصر توضیح دهید) "
"In der vorliegenden Angelegenheit tritt keine Rechtsschutzversicherung ein.","من برای این مورد هیچگونه بیمه حقوقی و قضایی ندارم."
"In dieser Angelegenheit besteht für mich nach meiner Kenntnis keine andere Möglichkeit, kostenlose Beratung und Vertretung in Anspruch zu nehmen.","برای این مورد تا جایی که اطلاع دارم هیچ امکان دیگری برای بهره مندی از نیابت و مشاوره ی رایگان ندارم."
"In dieser Angelegenheit ist mir bisher Beratungshilfe weder bewilligt noch versagt worden.","تا به حال برای این مورد نه کمک مشاوره ای به من ارائه شده و نه رد شده است."
"In dieser Angelegenheit wird oder wurde von mir bisher kein gerichtliches Verfahren geführt."," برای این مورد تا به حال هیچگونه جریان دادرسی قانونی نداشته ام و ندارم."
