"Name und Vorname der kindergeldberechtigten Person","çocuk Yardım Parasını alacak kişinin soyadı ve adı"
"Kindergeld-Nr.","çockuk Yardım Parası No."
"Telefonische Rückfrage tagsüber unter Nr.:","Mesayi saatlerde ulaşabilcegimiz telefon numarası"
"Bitte Hinweise beachten!","Lütfen uyariya dikat ediniz"
"zur Vorlage bei der Familienkasse","Aile Fonuna sunulucak formu"
"Name","Adı, soyadı"
"Vorname","Adı"
"Geburtsdatum","Doğum tarihi"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adres (Cadde/meydan, ev numarası, posta kodu, ikamet yeri, ikamet edilen ülke)"
"Familienstand:","Medeni hali"
"ledig","bekar"
"seit","ne zamandan beri"
"verheiratet","evli"
"verwitwet","dul"
"in eingetragener Lebenspartnerschaft lebend","kayitili evlilik"
"geschieden","boşanmış"
"dauernd getrennt lebend","sürekli ayrı yaşıyor"
"lfd. Nr.","Kimlik No."
"Name und Vorname des Kindes","çocuğun soyadı ve adı"
"geboren am","Doğum Tarihi"
"In Deutschland seit *)","...itibaren Almanyada *)"
"Datum","Tarih"
"Bemerkungen:","Açıklamalar:"
"Unterschrift","Imza"
"Hinweise","Uyarılar"
