Name und Vorname der kindergeldberechtigten Person,çocuk Yardım Parasını alacak kişinin soyadı ve adı
Kindergeld-Nr.,çockuk Yardım Parası No.
Telefonische Rückfrage tagsüber unter Nr.:,Mesayi saatlerde ulaşabilcegimiz telefon numarası
Bitte Hinweise beachten!,Lütfen uyariya dikat ediniz
Lebensbescheinigung,Yaşam belgesi
zur Vorlage bei der Familienkasse,Aile Fonuna sunulucak formu
"Erklärung über Kinder, die *außerhalb* des Haushaltes wohnen",Ev dışında yaşayan çocukların bildirgesi
durch Herrn/Frau,
Name,"Adı, soyadı"
Vorname,Adı
Geburtsdatum,Doğum tarihi
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)",
Familienstand:,Medeni hali
ledig,bekar
seit,ne zamandan beri
verheiratet,evli
verwitwet,dul
in Lebenspartnerschaft lebend,kayitili evlilik
geschieden,boşanmış
dauernd getrennt lebend,sürekli ayrı yaşıyor
"Ich erkläre hiermit, dass folgendes Kind / folgende Kinder",
lfd. Nr.,Kimlik No.
Name und Vorname des Kindes,çocuğun soyadı ve adı
geboren am,Doğum Tarihi
In Deutschland seit *),...itibaren Almanyada*)
"*) Bei Kindern, die *nicht* die deutsche Staatsangehörigkeit haben, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.",
wie folgt wohnhaft ist/sind.,
"Person oder Institution, bei der das Kind/die Kinder lebt/leben",çocukların kiminle veya hangi kurumda yaşadığı
(Datum),(Tarih)
(Unterschrift der kindergeldberechtigten Person),
Bescheinigung der Angaben,
"Es wird hiermit bescheinigt, dass das/die unter lfd. Nr. .... bis lfd. Nr. ... aufgeführte/n Kind/er nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet bzw. wohnhaft ist/sind.",Beriltildiği gibi Seri No. ... ve Kimlik No. ... daki çocukların verdiğim bilgiler ve belgelere ikâmet adresinde ikâmet etmektedirler.
Bemerkungen:,Açıklamalar:
Dienstsiegel oder Stempel (falls vorhanden),
(Unterschrift),(Imza)
Hinweise,Uyarılar:
"Kindergeld kann grundsätzlich nur für die Kinder gezahlt werden, die im Haushalt des Antragstellers leben. Unter bestimmten Voraussetzungen können aber auch Kinder berücksichtigt werden, die außerhalb des Haushalts leben, z.B. Kinder, die in einem Heim untergebracht sind.",çocuk Yardım Parası sadece aynı evde ikâmet eden çocuklar icin verilebilir. Veya berelli koşulardan dolayı ev dışında veya çocuk yurtlarinda ikâmet eden çocuklar icin de verilebilir.
Näheres findet sich dazu im Merkblatt über Kindergeld.,Daha detayli bilgileri çocuk Yardim Parasi uyarı kitapcindan bulabilirsiniz.
Das Vorhandensein der Kinder und ihre Unterbringung ist in der Regel durch die umseitige Lebensbescheinigung nachzuweisen.,Bildirmiş olduğunuz çocuklarin ikâmet varlığını yaşam belgesiyle kanıtlamalısınız.
Füllen Sie bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.,"Lütfen A şikkini okunaklı şekilde doldurunuz. B şikkindaki bilgilerinizi ikâmet ettdiğiniz muhtar, belediyelerden ve benzeri kurumlardan imzalı ve mühürli olaraka tahstiklenmedir."
"Für Kinder, die in einem Heim untergebracht sind, kann die Bescheinigung von der Heimleitung ausgestellt werden.",Yurtda yaşiyan çocukların belgerini yurtlardan tahstiklenebilir.
"Für Kinder in Schul- oder Berufsausbildung kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung vorgelegt werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke sind bei der Familienkasse erhältlich.",Okula veya meslek eğitimi gören çocukların yaşam belgelerini okullardan ve meslek eğitim yerlerinden tahstikletilebilir. Bu belgelerin tahstik sürelerinin 6 aydan az olmazı lazım. Belgelerin örneklerini Aile Fonunda teğmin edebilirsiniz.
Falls Sie den Nachweis über das Vorhandensein Ihrer Kinder nicht ohne Weiteres erbringen können - dies kann z.B. bei Kindern außerhalb Deutschlands schwierig sein - wenden Sie sich bitte an die Familienkasse.,"Eğer yukardaki beriltelen çocukların varlığını belgilendiremesiniz - bu Almanya dışı gelen çocuklar için zor olabilir - , lütfen Aile Fonuna danışınız."
