"Name und Vorname der kindergeldberechtigten Person","اسم و لقب المطالب بدعم الطفل"
"Kindergeld-Nr.","رقم دعم الطفل"
"Telefonische Rückfrage tagsüber unter Nr.:","للاستفسار هاتفيا خلال النهار من خلال رقم الهاتف:"
"Bitte Hinweise beachten!","يرجى الانتباه إلى الملاحظات!"
"Lebensbescheinigung","شهادة الحياة"
"zur Vorlage bei der Familienkasse","للتقديم إلى صندوق العائلة"
"Erklärung über Kinder, die *außerhalb* des Haushaltes wohnen","توضيح عن الأطفال الذين يعيشون خارج الأسرة"
"durch Herrn/Frau","من قبل السيد/السيدة"
"Name","اللقب"
"Vorname","الاسم"
"Geburtsdatum","تاريخ الولادة"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","العنوان (الشارع / الساحة، رقم المنزل، الرمز البريدي، المدينة، البلد)"
"Familienstand:","الوضع العائلي"
"ledig","عازب\ـة"
"seit","منذ"
"verheiratet","متزوج\ـة"
"verwitwet","أرمل\ـة"
"in eingetragener Lebenspartnerschaft lebend","شراكة مدنية مسجلة"
"geschieden","مطلق\ة"
"dauernd getrennt lebend","منفصل بشكل دائم"
"Ich erkläre hiermit, dass folgendes Kind / folgende Kinder","وبهذا أصرّح بأن الطفل / الأطفال التالية"
"lfd. Nr.","الرقم"
"Name und Vorname des Kindes","اسم الطفل و اسم عائلته "
"geboren am","تاريخ الميلاد:"
"In Deutschland seit *)","موجود في ألمانيا منذ *)"
"*) Bei Kindern, die *nicht* die deutsche Staatsangehörigkeit haben, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.","*) بالنسبة للأطفال الذين *لا* يحملون الجنسية الألمانية ، يجب الإشارة إلى التاريخ الذي منه بدأ الطفل إقامته في ألمانيا من دون انقطاع."
"wie folgt wohnhaft ist/sind.","الإقامة هي كالتالي"
"Datum","التاريخ"
"Bescheinigung der Angaben","وثيقة البيانات"
"Es wird hiermit bescheinigt, dass das/die unter lfd. Nr. .... bis lfd. Nr. ... aufgeführte/n Kind/er nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet bzw. wohnhaft ist/sind.","يتم التوثيق من خلال هذه المستندات، أن الأطفال مع الأرقام التسلسلية من الرقم ... إلى الرقم ... مسجلون ويقيمون في العنوان المذكور."
"Bemerkungen:","التعليقات:"
"Dienstsiegel oder Stempel","الختم الرسمي"
"Unterschrift","التوقيع"
"Hinweise","الملاحظات"
"Kindergeld kann grundsätzlich nur für die Kinder gezahlt werden, die im Haushalt des Antragstellers leben. Unter bestimmten Voraussetzungen können aber auch Kinder berücksichtigt werden, die außerhalb des Haushalts leben, z.B. Kinder, die in einem Heim untergebracht sind.","قانونياً، يتم دفع دعم الطفل فقط للأطفال المقيمين في بيت مقدم الطلب. في حالات أخرى ضمن شروط معينة, يمكن اعتبار الأطفال الذين يعيشون خارج المنزل أيضاً، على سبيل المثال الأطفال الموضوعين في المسكن المشترك."
"Näheres findet sich dazu im Merkblatt über Kindergeld.","المزيد من المعلومات تتواجد في صفحة المعلومات عن دعم الطفل"
"Das Vorhandensein der Kinder und ihre Unterbringung ist in der Regel durch die umseitige Lebensbescheinigung nachzuweisen.","حسب القانون يتم توثيق وجود الأطفال و إقامتهم عن طريق ورقة شهادة الحياة."
"Füllen Sie bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.","الرجاء ملىء القسم A بخط واضح. في القسم B يجب أن تكون المعلومات مصدّقة ومختومة من قبل السلطة المختصة بالتسجيل (مكتب التسجيل) أو هيئة عامة أخرى."
"Für Kinder, die in einem Heim untergebracht sind, kann die Bescheinigung von der Heimleitung ausgestellt werden.","بالنسبة للأطفال الموضوعين في مسكن مشترك، فإن إصدار الشهادة يتم من قبل إدارة المسكن."
"Für Kinder in Schul- oder Berufsausbildung kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung vorgelegt werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke sind bei der Familienkasse erhältlich.","بالنسبة للأطفال في المدرسة أو التدريب المهني، فإنه يمكن تقديم شهادة المدرسة أو التدريب بدلاً من شهادة الحياة، ولكن يجب ألاّ يكون مضى عليها أكثر من ستة أشهر. يمكن الحصول على الاستمارات ذات الصلة من صندوق الأسرة."
"Falls Sie den Nachweis über das Vorhandensein Ihrer Kinder nicht ohne Weiteres erbringen können - dies kann z.B. bei Kindern außerhalb Deutschlands schwierig sein - wenden Sie sich bitte an die Familienkasse.","إذا لم تتمكن من الإثبات على وجود أطفالك بدون المزيد من الأدلة - على سبيل المثال إذا كانوا الأطفال خارج ألمانيا - يجب عليك مراجعة صندوق الأسرة."
