"Name und Vorname der kindergeldberechtigten Person","Ihr Name"
"Kindergeld-Nr.","Kindergeldnummer. (Wenn Sie zum ersten Mal Kindergeld bekommen möchten, brauchen Sie hier nichts schreiben.)"
"Telefonische Rückfrage tagsüber unter Nr.:","Telefonnummer, wo man Sie am Tag anrufen kann"
"Bitte Hinweise beachten!","Lesen Sie bitte die Hinweise auf der Rückseite von diesem Blatt."
"Lebensbescheinigung","Das ist ein Papier, auf dem steht, dass Sie ein Kind /Kinder haben und wo Ihr Kind/Ihre Kinder lebt/leben."
"zur Vorlage bei der Familienkasse","Geben Sie dieses Papier der Familienkasse."
"Erklärung über Kinder, die *außerhalb* des Haushaltes wohnen","Wenn Sie Kinder haben, die nicht bei Ihnen wohnen, dann geben Sie bitte hier Informationen über diese Kinder an."
"durch Herrn/Frau","Herr/Frau"
"Name","Name"
"Vorname","Vorname"
"Geburtsdatum","Wann sind Sie geboren?"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Adresse (Straße/Platz, Hausnummer, Postleitzahl, Ort, Land)"
"Familienstand:","Familienstand:"
"ledig","ledig (Sie sind nicht verheiratet und waren auch noch nie verheiratet.)"
"seit","seit"
"verheiratet","verheiratet"
"verwitwet","verwitwet (Ihr Partner/Ihre Partnerin ist gestorben.)"
"in Lebenspartnerschaft lebend","Sie sind homosexuell und leben mit Ihrem Mann/Ihrer Frau zusammen in einer Lebenspartnerschaft"
"geschieden","geschieden"
"dauernd getrennt lebend","Sie sind verheiratet, aber Sie leben nicht zusammen"
"Ich erkläre hiermit, dass folgendes Kind / folgende Kinder","Hier geben Sie Informationen über Ihre Kinder/Ihr Kind."
"lfd. Nr.","Laufende Nummer. Schreiben Sie 1, 2, 3 etc."
"Name und Vorname des Kindes","Nachname und Vorname des Kindes"
"geboren am","Wann wurde das Kind geboren?"
"In Deutschland seit *)","Seit wann ist das Kind in Deutschland?"
"*) Bei Kindern, die *nicht* die deutsche Staatsangehörigkeit haben, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.","Falls ein Kind von Ihnen keinen deutschen Pass hat, dann sollen Sie hier aufschreiben, seit wann das Kind in Deutschland ist. Dabei ist es wichtig, dass das Kind ohne Unterbrechung in Deutschland war."
"wie folgt wohnhaft ist/sind.","Hier geben Sie an , wo das Kind/die Kinder wohnen."
"Person oder Institution, bei der das Kind/die Kinder lebt/leben","Hier geht es um den Ort und die, wo das Kind lebt. "
"(Datum)","(Datum)"
"(Unterschrift der kindergeldberechtigten Person)","Ihre Unterschrift"
"Bescheinigung der Angaben","Hier sagt das Amt, dass die Informationen die Sie über Ihr Kind/ Ihre Kinder gegeben haben, richtig sind."
"Es wird hiermit bescheinigt, dass das/die unter lfd. Nr. .... bis lfd. Nr. ... aufgeführte/n Kind/er nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet bzw. wohnhaft ist/sind.","Hier sagt das Amt, dass die Informationen die Sie über Ihr Kind/Ihre Kinder gegeben haben, richtig sind."
"Bemerkungen:","Bemerkungen vom Amt"
"Dienstsiegel oder Stempel (falls vorhanden)","Hier gibt das Amt "
"(Unterschrift)","(Unterschrift)"
"Hinweise","Hinweise"
"Kindergeld kann grundsätzlich nur für die Kinder gezahlt werden, die im Haushalt des Antragstellers leben. Unter bestimmten Voraussetzungen können aber auch Kinder berücksichtigt werden, die außerhalb des Haushalts leben, z.B. Kinder, die in einem Heim untergebracht sind.","Das Kindergeld bekommen Sie nur, wenn die Kinder bei Ihnen Zuhause leben. Manchmal können Sie aber auch Kindergeld bekommen, wenn das Kind nicht bei Ihnen wohnt. Zum Beispiel wenn Ihr Kind in einem Kinderheim lebt."
"Näheres findet sich dazu im Merkblatt über Kindergeld.","Sie können dazu mehr Informationen finden im Papier ""Merkblatt"" über Kindergeld."
"Das Vorhandensein der Kinder und ihre Unterbringung ist in der Regel durch die umseitige Lebensbescheinigung nachzuweisen.","Die Lebensbescheinigung gibt Informationen darüber, dass Sie Kinder/ein Kind haben und wo diese Kinder/dieses Kind lebt."
"Füllen Sie bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.","Bitte schreiben Sie so, dass man Ihre Antworten gut lesen kann. Im Teil ""A"" des Papiers geben Sie Informationen und im Teil ""B"" schreibt das Amt, dass Ihre Informationen richtig sind."
"Für Kinder, die in einem Heim untergebracht sind, kann die Bescheinigung von der Heimleitung ausgestellt werden.","Falls Ihr Kind /Ihre KInder in einem Heim wohnt/wohnen, dann können Sie das Heim nach einem Papier fragen das sagt, dass ihr Kind/Ihre Kinder dort lebt/leben."
"Für Kinder in Schul- oder Berufsausbildung kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung vorgelegt werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke sind bei der Familienkasse erhältlich.","Wenn Ihr Kind/Ihre Kinder in eine Schule gehen oder eine Ausbildung machen, dann können Sie auch in der Schule oder in der Firma nach einem Papier fragen, das sagt, dass Ihr KInd in diese Schule geht oder in dieser Firma lernt."
"Falls Sie den Nachweis über das Vorhandensein Ihrer Kinder nicht ohne Weiteres erbringen können - dies kann z.B. bei Kindern außerhalb Deutschlands schwierig sein - wenden Sie sich bitte an die Familienkasse.","Wenn Sie kein Papier haben, das sagt, dass Ihr Kind bei Ihnen ist, gehen Sie bitte zur Familienkasse. "
