"Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.","وکیل شما می تواند برایتان درخواستنامه بدهد."
"Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:","شما باید مدارک زیر را به همراه درخواست نامه به دادگاه تحویل دهید."
"- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien)","مدارک مربوط به موقعیت شخصی واقتصادی شما (کپی) "
"Angaben der Antragstellerin oder des Antragstellers:","اطلاعات مربوط به شخص متقاضی:"
"Name:","نام خانوادگی:"
"Vorname:","نام:"
"Anschrift:","آدرس:"
"Amtsgericht","اداره دادگستری"
"\*) Zutreffendes bitte ankreuzen!","\*) لطفا موارد مربوط را ضربدر بزنید!"
"oder","یا"
"Die Klage soll","دادخواست باید"
"Datum, Unterschrift","تاریخ، امضا"
"Allgemeine Hinweise","تذکرات کلی"
"Wichtig:","مهم"
"Welche Risiken sind zu beachten?","چه مخاطراتی را باید در نظر داشت؟"
"Lesen Sie das Formular sorgfältig durch und füllen Sie es gewissenhaft aus.","فرم را با دقت بخوانید و با توجه بسیار آن را پر کنید."
