"Mit diesem Formular können Sie beim zuständigen Gericht einen Antrag auf Prozesskostenhilfe stellen. Wird dem Antrag stattgegeben, müssen Sie nur einen Teil der Prozesskosten oder keine Prozesskosten bezahlen.","Avec ce formulaire, vous pouvez déposer une demande d'aide juridique auprès du tribunal compétent. Si votre demande est acceptée, vous ne devrez payer qu'une partie des frais de justice, voire aucun."
"Sie bekommen die Prozesskostenhilfe aber nur dann, wenn Sie wenig Geld haben.","Cependant, on ne peut bénéficier de l'assistance juridique que si l'on n'a que de peu d'argent."
Ihre Rechtsanwältin/Ihr Rechtsanwalt kann den Antrag für Sie stellen.,Votre avocat-e peut faire la demande pour vous.
Folgende Unterlagen müssen Sie gemeinsam mit dem Antrag beim Gericht einreichen:,Voici les pièces que vous devez joindre à votre demande auprès du tribunal:
- Erklärung über die persönlichen und wirtschaftlichen Verhältnisse bei Prozess- und Verfahrenskostenhilfe,- déclaration concernant la situation personnelle et financière en cas de demande d'aide juridique et d'aide au financement des frais de procédure
- Belege zu Ihrer persönlichen und wirtschaftlichen Situation (Kopien),- pièces justificatives relatives à votre situation personnelle et financière (copies)
Siehe auch die Hinweise zur Prozesskostenhilfe am Ende dieses Dokuments.,Voir également les informations concernant l'aide juridique à la fin de ce document
Angaben der Antragstellerin oder des Antragstellers:,Informations sur le demandeur/la demandeuse
Name:,Nom:
Vorname:,Prénom:
Anschrift:,Adresse:
Amtsgericht,"Amtsgericht (tribunal cantonal, équivalent du tribunal d'instance):"
"Hiermit beantrage ich, mir Verfahrens- bzw. Prozesskostenhilfe zu bewilligen für",Je sollicite une aide juridique / une aide au financement des frais de procédure pour:
\*) Zutreffendes bitte ankreuzen!,\*) Prière de cocher les cases concernées
das Verfahren mit dem Geschäftszeichen ................................. .\*),la procédure portant la référence ................... .\*)
oder,ou
die Erhebung der im Entwurf beigefügten Klage.\*),le dépôt de la plainte ci-jointe. \*)
Die Klage soll,La plainte doit être déposée
"auf jeden Fall, auch wenn mir vorher keine Verfahrens-bzw. Prozesskostenhilfe bewilligt wird,\*)","dans tous les cas, même si l'assistance juridique et/ou l'aide au financement des frais de procédure ne m'a pas été accordée au préalable, \*)"
"nur, wenn mir vorher Verfahrens-bzw. Prozesskostenhilfe bewilligt wird, \*)","uniquement si l'assistance juridique et/ou l'aide au financement des frais de procédure m'a (m'ont) été accordée(s) au préalable , \*)"
erhoben werden.,être déposée
Die Erklärung über meine persönlichen und wirtschaftlichen Verhältnisse nebst Belegen habe ich diesem Antrag beigefügt.,J'ai joint à cette demande la déclaration et les pièces justificatives relatives à ma situation personnelle et financière.
"Datum, Unterschrift","Date, signature"
