"Name und Vorname der antragstellenden Person","Dilekceyi verenin soyadi ve adi"
"Kindergeld-Nr.","çockuk Yardım Parası No."
"Familienkasse","Aile fonu"
"Bitte beachten Sie die Hinweise zum Antrag auf Kindergeld und das Merkblatt Kindergeld.","Lütfen çocuk parası başvurusuna ait ekteki notlara ve çocuk parası kılavuzuna dikkat ediniz."
"Anlage Kind","Cocuk fonu eki"
"zum Antrag auf Kindergeld vom","Cocuk Yardim Parasi dilekcesi"
"Lfd. Nr. ...... .","Siralama No."
"Angaben zum Kind","Çocuğa ait bilgiler"
"Steuerliche Identifikationsnummer des Kindes (soweit vergeben, zwingend ausfüllen)","Çocuğun vergi kimlik numarası (verildiyse, doldurulması zorunludur)"
"Vorname","Adı"
"ggf. abweichender Familienname","eger soyadi degisikse"
"Geburtsdatum","Doğum tarihi"
"Geburtsort","Doğum yeri"
"Geschlecht","Cinsiyeti"
"Staatsangehörigkeit","Uyruğu"
"Anschrift, wenn abweichend von antragstellender Person (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Başvuran kişiden farklı ise adresi (Cadde/meydan, ev numarası, posta kodu, ikamet yeri, ikamet edilen ülke)"
"Grund der abweichenden Anschrift (z. B. Unterbringung bei Großeltern, in einer Pflegestelle/einem Heim, wegen Schul- oder Berufsausbildung)","Adres farklılığının nedeni (örneğin okul veya meslek eğitimi nedeniyle bir bakım yurdunda bir yurtta, büyükanne büyükbabanın yanında ikamet)"
"Kindschaftsverhältnis","Evlatlık ilişkisi"
"leibliches Kind","Öz çocuk"
"Adoptivkind","evlatlık"
"Pflegekind","evlatlik"
"Stiefkind","üvey .çocuk"
"Enkelkind","Torun"
"zur antragstellenden Person","Başvuran kişiyle evlatlık ilişkisi"
"zum/zur Ehepartner(in) bzw. eingetragenen Lebenspartner(in)","Eş ile evlatlık ilişkisi"
"zu einer anderen Person","Başka bir kişiyle evlatlık ilişkisi"
"(z. B. anderer Elternteil; bitte unten Angaben machen)","(bu kişi örn. diğer ebeveynse; lütfen hakkında bilgi veriniz)"
"*) ggf. Annahmebeschluss beifügen","*) Gerekiyorsa evlat edinme kararını ekleyiniz"
"Angaben zur anderen Person (bitte hier eintragen)","Diğer Kişiyle ilgili Bilgiler (Bilgileri lütfen bu bölüme giriniz)"
"Name, Vorname","Adı, soyadı"
"letzte bekannte Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Bilinen son adres (Cadde/meydan, ev numarası, posta kodu, ikamet yeri, ikamet edilen ülke)"
"ggf. Zusatzangaben (z. B verstorben, Vaterschaft nicht festgestellt, unbekannt)","Gerekiyorsa ilave bilgiler (örn. ölüm durumu, babalığı ispatlanmamış, tanınmıyor)"
