"Bevor Sie diesen Vordruck ausfüllen, lesen Sie bitte die **Hinweise**. Sie sparen sich und uns Rückfragen.","Before you fill this form, please read the **instructions**. This way you save yourself and us from further questions. "
"Bitte deutlich, möglichst in Blockschrift ausfüllen.","Please fill out clearly, if possible in block letters.  "
"Zutreffendes bitte ankreuzen!","Please mark with a cross where applicable."
"Nicht vom Antragsteller auszufüllen!","Not to be filled out by the applicant!"
"Antragsnummer","application number"
"Eingangsstempel","receipt stamp"
"Antrag auf einen Wohnberechtigungsschein (WBS)","Application for a housing promotion certificate (Wohnberechtigungsschein - in short WBS)"
"Nach § 5 des Wohnungsbindungsgesetzes (WoBindG) bzw. § 27 Wohnraumförderungsgesetz (WoFG)","Pursuant to Section 5 of the German Controlled Tenancy Act (Wohnungsbindungsgesetz, in short WoBindG) resp. Section 27 of the German Social Housing Promotion Law (Wohnraumförderungsgesetz, in short WoFG)"
"Ich bitte/Wir bitten gemeinsam um Bestätigung der Wohnberechtigung für den Bezug einer belegungsgebundenen Wohnung.","I / we kindly ask for confirmation of entitlement to residence for the lease of a rent controlled appartment."
"Die künftige Wohnung wollen gemeinsam beziehen (Haushaltsangehörige gem. § 5 WoBindG / § 27 WoFG i.V. m. § 18 WoFG):","We would like to inhabit the future appartment together (household members pursuant to Section 5 WoBindG / Section 27 WoFG in combination with Section 18 WoFG):"
"Name, Vorname / ggf. Geburtsname","Last name, first name / birth name"
"Geburtsdatum","Date of birth"
"Familienstand","family status"
"Verwandtschaftsverhältnis","family relationship"
"Staatsangehörigkeit","Nationality"
"Eigene Einkünfte (§ 21 WoFG)","own income (§ 21 WoFG)"
"wenn","if"
"verheiratet","married"
"eingetr. Lebenspartn.","civil partner"
"seit:","since:"
"ja","yes"
"nein","no"
"weitere mitziehende Personen auf besonderem Blatt.","further residents on separate application sheet."
"Wir beabsichtigen spätestens innerhalb von 6 Monaten nach Überlassung der Wohnung die Ehe zu schließen.","We intend legal marriage within 6 months after cession of the appartment at the latest."
"Derzeitige Wohnanschrift","Current address / residence"
"der Person/(en) 1 und","of the person(s) 1 and"
"Der Bescheid wird an diese Anschrift gesandt, wenn nicht unter 3. ein Bevollmächtigter angegeben ist.","The notification will be sent to this address, if no authorized representative is indicated in section 3."
"Straße","Street"
"PLZ und Ort","ZIP code and city"
"Ich bewohne / Wir bewohnen die Wohnung","I inhabit / we inhabit the appartment"
"als Hauptmieter","as the main tenant"
"als Untermieter","as subtenant"
"mit den Eltern, die die Wohnung weiterhin nutzen","with the parents, who still use the apartment"
"Sozialwohnung","social housing"
"Name des Hauptmieters:","Last name of the main tenant:"
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich)","(information required according to Section 27, para 3 no. 2 of the German social housing promotion law (Wohnraumförderungsgesetz, in short WoFG))"
"Die Wohnung wird bewohnt seit dem","The appartment has been occupied since "
"Sammelheizung","Central heating"
"Ofenheizung","Stove heating"
"Größe:","Surface:"
"Zimmer,","Room,"
"m² Wohnfläche","m² living space "
"Aufzug","elevator"
"Etage","floor"
"(Die Angaben sind freiwillig, jedoch bei der Beantragung eines besonderen Wohnbedarfs notwendig.)","(Provision of the information is voluntary, but required when applying for particular housing need.)"
"gegebenenfalls weitere Personen, die in dem Haushalt aufgenommen werden sollen.","further household members, if applicable."
"(Angabe ist nach § 27 Abs. 3 Nr. 2 WoFG erforderlich).","(Information required according to Section 27, para 3, no. 2 WoFG)."
"Bitte den Bescheid an meine/meinen Bevollmächtigte(n) senden.","Please send the notification to my authorized representative."
"Name, Vorname","Last name, first name"
"Ich bin / Wir sind (Angabe erforderlich nach § 24 WoFG.)","I am / we are (information required according to Section 24 WoFG)"
"Name, Vorname der/des Behinderten","Laste name, first name of the disabled person"
"Schwerbehindert GdB","Severly disabled, degree of disability (GdB)"
"häuslich pflegebedürftig *","needs special care at home*"
"Schwerbehinderte mit Rollstuhl","Severely disabled and in wheel chair"
"Für mich/uns besteht ein besonderer Wohnbedarf, weil folgende besondere Gründe vorliegen:","I / we have particular housing need due to the following special cause:"
"Haben Sie oder eine der unter 1. aufgeführten Personen in den letzten 12 Monaten einen WBS erhalten?","Have you or one of the persons listed under section 1 been granted a Housing Promotion Certificate (WBS) in the last 12 months?"
"Falls die Frage bejaht wurde, fügen Sie bitte den WBS Ihrem Antrag bei.","If yes, please enclose a copy of the certificate (WBS) to your application."
"Die Erhebung, Speicherung, Änderung und Nutzung von Daten erfolgt gemäß § 2 WoBindG bzw. § 32 Abs. 2 bis 4 WoFG.","Please enclose the following documents in this application:"
"Ich versichere / Wir versichern die Richtigkeit aller Angaben.","I ensure / We ensure the accuracy of all the information.  "
"Unterschrift(en)","Signature(s)"
"Ort","City"
"Datum","Date"
", den",", the"
"Telefon - Nummer (für Rückfragen tagsüber)","Telefon - Number (for callbacks during the day)"
"Diesem Antrag sind beizufügen:","Please enclose the following documents in this application:"
"Hinweise","Comments:"
"Allgemeines","General information"
"Hinweise für die Antragstellung","Instructions for the application"
"Erläuterungen zu","Explanations of"
"Sonstige Erläuterungen","Other explanations"
"für zwei Personen","for two people"
"ein Wohnraum","one living space"
"für drei Personen","for three people"
"zwei Wohnräume","two living spaces"
"für vier und fünf Personen","for four and five people"
"drei Wohnräume","three living spaces"
"für sechs Personen und mehr","for six people or more"
"vier Wohnräume","four living spaces"
"Hier nur einige Beispiele:","Here only few examples:"
